Order,Delegate,Speech_Topic_Num,Speech_Topic_Name,Speech_Length,Day_Num,Day_Date,Volume,Pg_Num,Previous_Speaker,State,Southern_State,Delegate_Ideology,Abs_Delegate_Ideology,Delegate_Ideology_Sq,Delegate_Attend,Delegate_Age,Delegate_Slave,Delegate_College,Delegate_Leg_Exp,
40,Madison_James,25,Legislative apportionment,4,4,30-May,1,36,Randolph_Edmund,VA,1,1,1,1,85,36,1,1,10,
41,Randolph_Edmund,25,Legislative apportionment,26,4,30-May,1,36,Madison_James,VA,1,-0.53,0.53,0.2809,85,34,1,1,4,
42,Madison_James,25,Legislative apportionment,4,4,30-May,1,36,Randolph_Edmund,VA,1,1,1,1,85,36,1,1,10,
43,Randolph_Edmund,73,Motion to postpone,4,4,30-May,1,36,Madison_James,VA,1,-0.53,0.53,0.2809,85,34,1,1,4,
44,Madison_James,73,Motion to postpone,4,4,30-May,1,36,Randolph_Edmund,VA,1,1,1,1,85,36,1,1,10,
45,Madison_James,25,Legislative apportionment,41,4,30-May,1,36,Madison_James,VA,1,1,1,1,85,36,1,1,10,
46,Morris_Gouverneur,25,Legislative apportionment,4,4,30-May,1,36,Madison_James,PA,0,0.8,0.8,0.64,59,35,0,1,5,
47,Read_George,73,Motion to postpone,56,4,30-May,1,37,Morris_Gouverneur,DE,0,1,1,1,85,53,0,0,23,
48,Morris_Gouverneur,73,Motion to postpone,59,4,30-May,1,37,Read_George,PA,0,0.8,0.8,0.64,59,35,0,1,5,
49,Madison_James,25,Legislative apportionment,181,4,30-May,1,37,Morris_Gouverneur,VA,1,1,1,1,85,36,1,1,10,
50,Gorham_Nathaniel,21,Legislative composition and process,13,5,31-May,1,47,9,MA,0,0.64,0.64,0.4096,83,49,0,0,13,
51,Gorham_Nathaniel,23,Legislative selection,30,5,31-May,1,48,Gorham_Nathaniel,MA,0,0.64,0.64,0.4096,83,49,0,0,13,
52,Sherman_Roger,23,Legislative selection,43,5,31-May,1,48,Gorham_Nathaniel,CT,0,-0.13,0.13,0.0169,75,66,0,0,29,
53,Gerry_Elbridge,23,Legislative selection,148,5,31-May,1,48,Sherman_Roger,MA,0,-1,1,1,79,43,0,1,13,
54,Mason_George,23,Legislative selection,216,5,31-May,1,48,Gerry_Elbridge,VA,1,-0.71,0.71,0.5041,85,62,1,0,11,
55,Wilson_James,23,Legislative selection,127,5,31-May,1,49,Mason_George,PA,0,1,1,1,85,45,0,1,8,
56,Madison_James,23,Legislative selection,204,5,31-May,1,49,Wilson_James,VA,1,1,1,1,85,36,1,1,10,
57,Gerry_Elbridge,23,Legislative selection,100,5,31-May,1,50,Madison_James,MA,0,-1,1,1,79,43,0,1,13,
58,Butler_Pierce,23,Legislative selection,9,5,31-May,1,50,Gerry_Elbridge,SC,1,-0.24,0.24,0.0576,85,43,1,0,9,
59,Gorham_Nathaniel,24,Qualifications of legislators,33,5,31-May,1,50,Butler_Pierce,MA,0,0.64,0.64,0.4096,83,49,0,0,13,
60,Gorham_Nathaniel,23,Legislative selection,33,5,31-May,1,51,Gorham_Nathaniel,MA,0,0.64,0.64,0.4096,83,49,0,0,13,
61,Spaight_RichardDobbs,23,Legislative selection,20,5,31-May,1,51,Gorham_Nathaniel,NC,1,-0.17,0.17,0.0289,85,29,1,1,8,
62,Butler_Pierce,23,Legislative selection,67,5,31-May,1,51,Spaight_RichardDobbs,SC,1,-0.24,0.24,0.0576,85,43,1,0,9,
63,Randolph_Edmund,23,Legislative selection,153,5,31-May,1,51,Butler_Pierce,VA,1,-0.53,0.53,0.2809,85,34,1,1,4,
64,King_Rufus,23,Legislative selection,61,5,31-May,1,51,Randolph_Edmund,MA,0,1,1,1,83,32,0,1,5,
65,Spaight_RichardDobbs,23,Legislative selection,4,5,31-May,1,52,King_Rufus,NC,1,-0.17,0.17,0.0289,85,29,1,1,8,
66,Wilson_James,23,Legislative selection,87,5,31-May,1,52,Spaight_RichardDobbs,PA,0,1,1,1,85,45,0,1,8,
67,Madison_James,23,Legislative selection,97,5,31-May,1,52,Wilson_James,VA,1,1,1,1,85,36,1,1,10,
68,Sherman_Roger,23,Legislative selection,12,5,31-May,1,52,Madison_James,CT,0,-0.13,0.13,0.0169,75,66,0,0,29,
69,Pinckney_C,23,Legislative selection,10,5,31-May,1,52,Sherman_Roger,SC,1,0.91,0.91,0.8281,85,29,1,0,8,
70,Gorham_Nathaniel,23,Legislative selection,17,5,31-May,1,52,Pinckney_C,MA,0,0.64,0.64,0.4096,83,49,0,0,13,
71,Gorham_Nathaniel,22,Legislative powers,35,5,31-May,1,52,Gorham_Nathaniel,MA,0,0.64,0.64,0.4096,83,49,0,0,13,
72,Gorham_Nathaniel,22,Legislative powers,18,5,31-May,1,53,Gorham_Nathaniel,MA,0,0.64,0.64,0.4096,83,49,0,0,13,
73,Pinckney_C,22,Legislative powers,32,5,31-May,1,53,Gorham_Nathaniel,SC,1,0.91,0.91,0.8281,85,29,1,0,8,
74,Rutledge_John,22,Legislative powers,32,5,31-May,1,53,Pinckney_C,SC,1,0.39,0.39,0.1521,85,48,1,1,21,
75,Butler_Pierce,22,Legislative powers,29,5,31-May,1,53,Rutledge_John,SC,1,-0.24,0.24,0.0576,85,43,1,0,9,
76,Randolph_Edmund,22,Legislative powers,46,5,31-May,1,53,Butler_Pierce,VA,1,-0.53,0.53,0.2809,85,34,1,1,4,
77,Madison_James,22,Legislative powers,111,5,31-May,1,53,Randolph_Edmund,VA,1,1,1,1,85,36,1,1,10,
78,Gorham_Nathaniel,22,Legislative powers,31,5,31-May,1,54,Madison_James,MA,0,0.64,0.64,0.4096,83,49,0,0,13,
79,Franklin_Benjamin,22,Legislative powers,24,5,31-May,1,54,Gorham_Nathaniel,PA,0,-0.52,0.52,0.2704,84,81,0,0,16,
80,Gorham_Nathaniel,22,Legislative powers,24,5,31-May,1,54,Franklin_Benjamin,MA,0,0.64,0.64,0.4096,83,49,0,0,13,
81,Madison_James,73,Motion to postpone,115,5,31-May,1,54,Gorham_Nathaniel,VA,1,1,1,1,85,36,1,1,10,
82,Gorham_Nathaniel,33,Exectuive selection,33,6,1-Jun,1,64,9,MA,0,0.64,0.64,0.4096,83,49,0,0,13,
83,Pinckney_C,33,Exectuive selection,37,6,1-Jun,1,64,Gorham_Nathaniel,SC,1,0.91,0.91,0.8281,85,29,1,0,8,
84,Wilson_James,31,Executive composition,9,6,1-Jun,1,65,Pinckney_C,PA,0,1,1,1,85,45,0,1,8,
85,Pinckney_C,31,Executive composition,4,6,1-Jun,1,65,Wilson_James,SC,1,0.91,0.91,0.8281,85,29,1,0,8,
86,Gorham_Nathaniel,31,Executive composition,5,6,1-Jun,1,65,Pinckney_C,MA,0,0.64,0.64,0.4096,83,49,0,0,13,
87,Franklin_Benjamin,31,Executive composition,25,6,1-Jun,1,65,Gorham_Nathaniel,PA,0,-0.52,0.52,0.2704,84,81,0,0,16,
88,Rutledge_John,31,Executive composition,82,6,1-Jun,1,65,Franklin_Benjamin,SC,1,0.39,0.39,0.1521,85,48,1,1,21,
89,Sherman_Roger,31,Executive composition,104,6,1-Jun,1,65,Rutledge_John,CT,0,-0.13,0.13,0.0169,75,66,0,0,29,
90,Wilson_James,31,Executive composition,74,6,1-Jun,1,65,Sherman_Roger,PA,0,1,1,1,85,45,0,1,8,
91,Gerry_Elbridge,31,Executive composition,17,6,1-Jun,1,66,Wilson_James,MA,0,-1,1,1,79,43,0,1,13,
92,Randolph_Edmund,31,Executive composition,128,6,1-Jun,1,66,Gerry_Elbridge,VA,1,-0.53,0.53,0.2809,85,34,1,1,4,
93,Wilson_James,31,Executive composition,63,6,1-Jun,1,66,Randolph_Edmund,PA,0,1,1,1,85,45,0,1,8,
94,Gorham_Nathaniel,31,Executive composition,36,6,1-Jun,1,66,Wilson_James,MA,0,0.64,0.64,0.4096,83,49,0,0,13,
95,Madison_James,32,Executive powers,190,6,1-Jun,1,66,Gorham_Nathaniel,VA,1,1,1,1,85,36,1,1,10,
96,Wilson_James,32,Executive powers,4,6,1-Jun,1,67,Madison_James,PA,0,1,1,1,85,45,0,1,8,
97,Pinckney_C,32,Executive powers,58,6,1-Jun,1,67,Wilson_James,SC,1,0.91,0.91,0.8281,85,29,1,0,8,
98,Randolph_Edmund,32,Executive powers,4,6,1-Jun,1,67,Pinckney_C,VA,1,-0.53,0.53,0.2809,85,34,1,1,4,
99,Madison_James,32,Executive powers,58,6,1-Jun,1,67,Randolph_Edmund,VA,1,1,1,1,85,36,1,1,10,
100,Gorham_Nathaniel,31,Executive composition,21,6,1-Jun,1,68,Madison_James,MA,0,0.64,0.64,0.4096,83,49,0,0,13,
101,Wilson_James,31,Executive composition,79,6,1-Jun,1,68,Gorham_Nathaniel,PA,0,1,1,1,85,45,0,1,8,
102,Sherman_Roger,31,Executive composition,52,6,1-Jun,1,68,Wilson_James,CT,0,-0.13,0.13,0.0169,75,66,0,0,29,
103,Wilson_James,31,Executive composition,36,6,1-Jun,1,68,Sherman_Roger,PA,0,1,1,1,85,45,0,1,8,
104,Pinckney_C,31,Executive composition,4,6,1-Jun,1,68,Wilson_James,SC,1,0.91,0.91,0.8281,85,29,1,0,8,
105,Sherman_Roger,31,Executive composition,23,6,1-Jun,1,68,Pinckney_C,CT,0,-0.13,0.13,0.0169,75,66,0,0,29,
106,Mason_George,31,Executive composition,50,6,1-Jun,1,68,Sherman_Roger,VA,1,-0.71,0.71,0.5041,85,62,1,0,11,
107,Bedford_Gunning,31,Executive composition,99,6,1-Jun,1,68,Mason_George,DE,0,-0.73,0.73,0.5329,84,40,0,1,3,
108,"Washington, George",31,Executive composition,9,6,1-Jun,1,69,Beford_Gunning,VA,1,1,1,1,85,55,1,0,17,
109,Gorham_Nathaniel,33,Executive selection,10,6,1-Jun,1,69,Washington_George,MA,0,0.64,0.64,0.4096,83,49,0,0,13,
110,Wilson_James,33,Executive selection,54,6,1-Jun,1,69,Gorham_Nathaniel,PA,0,1,1,1,85,45,0,1,8,
111,Mason_George,33,Executive selection,38,6,1-Jun,1,69,Wilson_James,VA,1,-0.71,0.71,0.5041,85,62,1,0,11,
112,Rutledge_John,33,Executive selection,15,6,1-Jun,1,69,Mason_George,SC,1,0.39,0.39,0.1521,85,48,1,1,21,
113,Gorham_Nathaniel,33,Executive selection,29,7,2-Jun,1,79,9,MA,0,0.64,0.64,0.4096,83,49,0,0,13,
114,Wilson_James,33,Executive selection,153,7,2-Jun,1,80,Gorham_Nathaniel,PA,0,1,1,1,85,45,0,1,8,
115,Gerry_Elbridge,33,Executive selection,180,7,2-Jun,1,80,Wilson_James,MA,0,-1,1,1,79,43,0,1,13,
116,Williamson_Hugh,33,Executive selection,37,7,2-Jun,1,80,Gerry_Elbridge,NC,1,-0.16,0.16,0.0256,85,51,0,1,5,
117,Franklin_Benjamin,73,Motion to postpone,1530,7,2-Jun,1,81,Williamson_Hugh,PA,0,-0.52,0.52,0.2704,84,81,0,0,16,
118,Hamilton_Alexander,73,Motion to postpone,71,7,2-Jun,1,85,Franklin_Benjamin,NY,0,0.87,0.87,0.7569,40,30,0,1,3,
119,Dickinson_John,22,Legislative powers,107,7,2-Jun,1,85,Hamilton_Alexander,DE,0,-0.8,0.8,0.64,79,54,0,1,11,
120,Bedford_Gunning,22,Legislative powers,4,7,2-Jun,1,85,Dickinson_John,DE,0,-0.73,0.73,0.5329,84,40,0,1,3,
121,Sherman_Roger,22,Legislative powers,14,7,2-Jun,1,85,Beford_Gunning,CT,0,-0.13,0.13,0.0169,75,66,0,0,29,
122,Mason_George,42,General powers of the national government,50,7,2-Jun,1,86,Sherman_Roger,VA,1,-0.71,0.71,0.5041,85,62,1,0,11,
123,Madison_James,22,Legislative powers,109,7,2-Jun,1,86,Mason_George,VA,1,1,1,1,85,36,1,1,10,
124,Wilson_James,22,Legislative powers,109,7,2-Jun,1,86,Madison_James,PA,0,1,1,1,85,45,0,1,8,
125,Dickinson_John,22,Legislative powers,484,7,2-Jun,1,86,Wilson_James,DE,0,-0.8,0.8,0.64,79,54,0,1,11,
126,Gorham_Nathaniel,22,Legislative powers,50,7,2-Jun,1,87,Dickinson_John,MA,0,0.64,0.64,0.4096,83,49,0,0,13,
127,Williamson_Hugh,33,Executive selection,28,7,2-Jun,1,88,Gorham_Nathaniel,NC,1,-0.16,0.16,0.0256,85,51,0,1,5,
128,Davie_ WilliamRichardson,33,Executive selection,4,7,2-Jun,1,88,Williamson_Hugh,NC,1,0.002,0.002,0.000004,55,30,1,1,4,
129,Rutledge_John,31,Executive composition,39,7,2-Jun,1,88,Davie_WilliamRichardson,SC,1,0.39,0.39,0.1521,85,48,1,1,21,
130,Pinckney_C,31,Executive composition,4,7,2-Jun,1,88,Rutledge_John,SC,1,0.91,0.91,0.8281,85,29,1,0,8,
131,Randolph_Edmund,31,Executive composition,152,7,2-Jun,1,88,Pinckney_C,VA,1,-0.53,0.53,0.2809,85,34,1,1,4,
132,Butler_Pierce,31,Executive composition,135,7,2-Jun,1,88,Randolph_Edmund,SC,1,-0.24,0.24,0.0576,85,43,1,0,9,
133,Wilson_James,31,Executive composition,313,8,4-Jun,1,96,9,PA,0,1,1,1,85,45,0,1,8,
134,Sherman_Roger,31,Executive composition,125,8,4-Jun,1,97,Wilson_James,CT,0,-0.13,0.13,0.0169,75,66,0,0,29,
135,Williamson_Hugh,31,Executive composition,10,8,4-Jun,1,97,Sherman_Roger,NC,1,-0.16,0.16,0.0256,85,51,0,1,5,
136,Wilson_James,31,Executive composition,13,8,4-Jun,1,97,Williamson_Hugh,PA,0,1,1,1,85,45,0,1,8,
137,Gerry_Elbridge,31,Executive composition,44,8,4-Jun,1,97,Wilson_James,MA,0,-1,1,1,79,43,0,1,13,
138,Gorham_Nathaniel,32,Executive powers,16,8,4-Jun,1,97,Gerry_Elbridge,MA,0,0.64,0.64,0.4096,83,49,0,0,13,
139,Gerry_Elbridge,73,Motion to postpone,120,8,4-Jun,1,97,Gorham_Nathaniel,MA,0,-1,1,1,79,43,0,1,13,
140,King_Rufus,73,Motion to postpone,31,8,4-Jun,1,98,Gerry_Elbridge,MA,0,1,1,1,83,32,0,1,5,
141,Wilson_James,32,Executive powers,63,8,4-Jun,1,98,King_Rufus,PA,0,1,1,1,85,45,0,1,8,
142,Wilson_James,32,Executive powers,56,8,4-Jun,1,98,Wilson_James,PA,0,1,1,1,85,45,0,1,8,
143,Hamilton_Alexander,32,Executive powers,22,8,4-Jun,1,98,Wilson_James,NY,0,0.87,0.87,0.7569,40,30,0,1,3,
144,Gerry_Elbridge,32,Executive powers,27,8,4-Jun,1,98,Hamilton_Alexander,MA,0,-1,1,1,79,43,0,1,13,
145,Franklin_Benjamin,32,Executive powers,303,8,4-Jun,1,98,Gerry_Elbridge,PA,0,-0.52,0.52,0.2704,84,81,0,0,16,
146,Sherman_Roger,32,Executive powers,55,8,4-Jun,1,99,Franklin_Benjamin,CT,0,-0.13,0.13,0.0169,75,66,0,0,29,
147,Madison_James,32,Executive powers,109,8,4-Jun,1,99,Sherman_Roger,VA,1,1,1,1,85,36,1,1,10,
148,Wilson_James,32,Executive powers,168,8,4-Jun,1,100,Madison_James,PA,0,1,1,1,85,45,0,1,8,
149,Butler_Pierce,32,Executive powers,96,8,4-Jun,1,100,Wilson_James,SC,1,-0.24,0.24,0.0576,85,43,1,0,9,
150,Bedford_Gunning,32,Executive powers,85,8,4-Jun,1,100,Butler_Pierce,DE,0,-0.73,0.73,0.5329,84,40,0,1,3,
151,Mason_George,32,Executive powers,439,8,4-Jun,1,101,Beford_Gunning,VA,1,-0.71,0.71,0.5041,85,62,1,0,11,
152,Franklin_Benjamin,32,Executive powers,236,8,4-Jun,1,102,Mason_George,PA,0,-0.52,0.52,0.2704,84,81,0,0,16,
153,Butler_Pierce,32,Executive powers,29,8,4-Jun,1,103,Franklin_Benjamin,SC,1,-0.24,0.24,0.0576,85,43,1,0,9,
154,Franklin_Benjamin,32,Executive powers,4,8,4-Jun,1,103,Butler_Pierce,PA,0,-0.52,0.52,0.2704,84,81,0,0,16,
155,Gerry_Elbridge,32,Executive powers,31,8,4-Jun,1,104,Franklin_Benjamin,MA,0,-1,1,1,79,43,0,1,13,
156,Wilson_James,32,Executive powers,25,8,4-Jun,1,104,Gerry_Elbridge,PA,0,1,1,1,85,45,0,1,8,
157,Madison_James,32,Executive powers,4,8,4-Jun,1,104,Wilson_James,VA,1,1,1,1,85,36,1,1,10,
158,Hamilton_Alexander,75,Other procedural motion,5,8,4-Jun,1,104,Madison_James,NY,0,0.87,0.87,0.7569,40,30,0,1,3,
159,Wilson_James,75,Other procedural motion,14,8,4-Jun,1,104,Hamilton_Alexander,PA,0,1,1,1,85,45,0,1,8,
160,Wilson_James,22,Legislative powers,46,9,5-Jun,1,119,9,PA,0,1,1,1,85,45,0,1,8,
161,Rutledge_John,22,Legislative powers,53,9,5-Jun,1,119,Wilson_James,SC,1,0.39,0.39,0.1521,85,48,1,1,21,
162,Franklin_Benjamin,22,Legislative powers,118,9,5-Jun,1,119,Rutledge_John,PA,0,-0.52,0.52,0.2704,84,81,0,0,16,
163,Madison_James,22,Legislative powers,166,9,5-Jun,1,120,Franklin_Benjamin,VA,1,1,1,1,85,36,1,1,10,
164,Wilson_James,22,Legislative powers,4,9,5-Jun,1,120,Madison_James,PA,0,1,1,1,85,45,0,1,8,
165,Wilson_James,22,Legislative powers,20,9,5-Jun,1,120,Wilson_James,PA,0,1,1,1,85,45,0,1,8,
166,Pinckney_C,22,Legislative powers,29,9,5-Jun,1,121,Wilson_James,SC,1,0.91,0.91,0.8281,85,29,1,0,8,
167,Paterson_William,73,Motion to postpone,19,9,5-Jun,1,121,Pinckney_C,NJ,0,-1,1,1,46,41,0,1,3,
168,Pinckney_C,63,Amendments and ratification of the constitution,7,9,5-Jun,1,121,Paterson_William,SC,1,0.91,0.91,0.8281,85,29,1,0,8,
169,Gerry_Elbridge,63,Amendments and ratification of the constitution,40,9,5-Jun,1,122,Pinckney_C,MA,0,-1,1,1,79,43,0,1,13,
170,Sherman_Roger,63,Amendments and ratification of the constitution,25,9,5-Jun,1,122,Gerry_Elbridge,CT,0,-0.13,0.13,0.0169,75,66,0,0,29,
171,Madison_James,63,Amendments and ratification of the constitution,158,9,5-Jun,1,122,Sherman_Roger,VA,1,1,1,1,85,36,1,1,10,
172,Gerry_Elbridge,63,Amendments and ratification of the constitution,65,9,5-Jun,1,123,Madison_James,MA,0,-1,1,1,79,43,0,1,13,
173,King_Rufus,63,Amendments and ratification of the constitution,115,9,5-Jun,1,123,Gerry_Elbridge,MA,0,1,1,1,83,32,0,1,5,
174,Wilson_James,63,Amendments and ratification of the constitution,75,9,5-Jun,1,123,King_Rufus,PA,0,1,1,1,85,45,0,1,8,
175,Pinckney_C,63,Amendments and ratification of the constitution,22,9,5-Jun,1,123,Wilson_James,SC,1,0.91,0.91,0.8281,85,29,1,0,8,
176,Pinckney_C,74,Motion to reconsider,25,9,5-Jun,1,124,Pinckney_C,SC,1,0.91,0.91,0.8281,85,29,1,0,8,
177,Rutledge_John,74,Motion to reconsider,4,9,5-Jun,1,124,Pinckney_C,SC,1,0.39,0.39,0.1521,85,48,1,1,21,
178,Rutledge_John,11,Judicial composition and process,95,9,5-Jun,1,124,Rutledge_John,SC,1,0.39,0.39,0.1521,85,48,1,1,21,
179,Sherman_Roger,11,Judicial composition and process,4,9,5-Jun,1,124,Rutledge_John,CT,0,-0.13,0.13,0.0169,75,66,0,0,29,
180,Madison_James,11,Judicial composition and process,139,9,5-Jun,1,124,Sherman_Roger,VA,1,1,1,1,85,36,1,1,10,
181,Wilson_James,11,Judicial composition and process,46,9,5-Jun,1,124,Madison_James,PA,0,1,1,1,85,45,0,1,8,
182,Sherman_Roger,11,Judicial composition and process,30,9,5-Jun,1,125,Wilson_James,CT,0,-0.13,0.13,0.0169,75,66,0,0,29,
183,Dickinson_John,11,Judicial composition and process,30,9,5-Jun,1,125,Sherman_Roger,DE,0,-0.8,0.8,0.64,79,54,0,1,11,
184,Wilson_James,22,Legislative powers,64,9,5-Jun,1,125,Dickinson_John,PA,0,1,1,1,85,45,0,1,8,
185,Madison_James,22,Legislative powers,4,9,5-Jun,1,125,Wilson_James,VA,1,1,1,1,85,36,1,1,10,
186,Butler_Pierce,11,Judicial composition and process,51,9,5-Jun,1,125,Madison_James,SC,1,-0.24,0.24,0.0576,85,43,1,0,9,
187,King_Rufus,11,Judicial composition and process,25,9,5-Jun,1,125,Butler_Pierce,MA,0,1,1,1,83,32,0,1,5,
188,Pinckney_C,21,Legislative composition and process,65,10,6-Jun,1,132,9,SC,1,0.91,0.91,0.8281,85,29,1,0,8,
189,Rutledge_John,23,Legislative selection,4,10,6-Jun,1,132,Pinckney_C,SC,1,0.39,0.39,0.1521,85,48,1,1,21,
190,Gerry_Elbridge,23,Legislative selection,169,10,6-Jun,1,132,Rutledge_John,MA,0,-1,1,1,79,43,0,1,13,
191,Wilson_James,23,Legislative selection,194,10,6-Jun,1,132,Gerry_Elbridge,PA,0,1,1,1,85,45,0,1,8,
192,Sherman_Roger,23,Legislative selection,200,10,6-Jun,1,133,Wilson_James,CT,0,-0.13,0.13,0.0169,75,66,0,0,29,
193,Mason_George,23,Legislative selection,214,10,6-Jun,1,133,Sherman_Roger,VA,1,-0.71,0.71,0.5041,85,62,1,0,11,
194,Madison_James,23,Legislative selection,750,10,6-Jun,1,134,Mason_George,VA,1,1,1,1,85,36,1,1,10,
195,Dickinson_John,23,Legislative selection,150,10,6-Jun,1,136,Madison_James,DE,0,-0.8,0.8,0.64,79,54,0,1,11,
196,Read_George,42,General powers of the national government,133,10,6-Jun,1,136,Dickinson_John,DE,0,1,1,1,85,53,0,0,23,
197,Pierce_William,23,Legislative selection,34,10,6-Jun,1,137,Read_George,GA,1,-0.47,0.47,0.2209,21,47,0,1,2,
198,Pinckney_CC,23,Legislative selection,145,10,6-Jun,1,137,Pierce_William,SC,1,0.37,0.37,0.1369,85,41,1,1,5,
199,Wilson_James,42,General powers of the national government,77,10,6-Jun,1,137,Pinckney_CC,PA,0,1,1,1,85,45,0,1,8,
200,Wilson_James,74,Motion to reconsider,46,10,6-Jun,1,138,Wilson_James,PA,0,1,1,1,85,45,0,1,8,
